Name	Homepage	Description	Version	Tool.Type	Topic	Citations	Documentation	Operating.System	Language	Accessibility	License	DOI	Title	Abstract
enviPat	http://www.envipat.eawag.ch/	Batch fine structure, profile and centroid calculation with resolution settings provided.		Command-line tool, Library, Web application	Proteomics, Proteomics experiment, Statistics and probability	158	https://cran.r-project.org/web/packages/enviPat/enviPat.pdf	Linux, Windows, Mac	R	None	GPL-2.0	10.1021/acs.analchem.5b00941	Accelerated isotope fine structure calculation using pruned transition trees	A fast and memory-efficient calculation of theoretical isotope patterns is crucial for the routine interpretation of mass spectrometric data. For high-resolution experiments, calculations must procure the exact masses and probabilities of relevant isotopologues over a wide range of polyisotopic compounds, while pruning low-probable ones. Here, a novel albeit simple treelike structure is introduced to swiftly derive sets of relevant subisotopologues for each element in a molecule, which are then combined to the isotopologues of the full molecule. In contrast to existing approaches, transitions via single replacements of the most abundant isotope per element are used in separable tree branches to derive subisotopologues from each other. Moreover, the underlying transition trees prevent redundant replacements and permit the detection of the most probable isotopologue in a first phase. A relative threshold can then be exploited in a second parallelized phase for a precise prepruning of large fractions of the remaining subisotopologues. The gain in performance from such early pruning and the lower variation in the distortion of simulated data with use of relative rather than absolute thresholds were validated in a large-scale benchmark simulation, unprecedentedly comprising several thousand molecular formulas. Both the algorithm and a wealth of related features are freely available as R-package enviPat and as a user-friendly Web interface.
libmprc	http://informatics.mayo.edu/svn/trunk/mprc/raams/doc/index.html	Library for analysis of high resolution mass spectrometry data (including THRASH).		Command-line tool	Proteomics, Proteomics experiment	55			C++	None	None	10.1074/mcp.m600148-mcp200	A method for automatically interpreting mass spectra of 18O-labeled isotopic clusters	16O/18O labeling is one differential proteomics technology among many that promises diagnostic and prognostic biomarkers of disease. Although the incorporation of 18O in the C-terminal carboxyl group during endoproteinase digestion in the presence of H218O makes the process of labeling facile, the ease and effectiveness of label incorporation have in some regards been outweighed by the difficulties in interpreting the resulting spectra. Complex isotope patterns result from the composition of unlabeled (18O0), singly labeled (18O1), and doubly labeled species (18)2) as well as contributions from the naturally occurring isotopes (e.g. 13C and 15N). Moreover because labeling is enzymatic, the number of 18O atoms incorporated can vary from peptide to peptide. Finally it is difficult to distinguish highly up-regulated from highly down-regulated or C-terminal peptides. We have developed an algorithm entitled regression analysis applied to mass spectrometry (RAAMS) that automatically, rapidly, and confidently interprets spectra of 18O-labeled peptides without requiring chemical composition information derived from production spectra. The algorithm is able to measure the effective 18O incorporation rate due to variable enzyme substrate specificity of the pseudosubstrater during the isotope exchange reaction and corrects for the 18O0 abundance that remains in the labeled sample when using a two-step digestion/labeling procedure. We have also incorporated a method for distinguishing pure 18O0 from pure 18O2 peptides utilizing impure H218O. The algorithm operates on centroided peak lists and is therefore very fast: nine chromatograms of, on average, 1,168 spectra and containing, on average, 6,761 isotopic clusters were interpreted in, on average, 45 s per chromatogram. RAAMS is fast enough (average, 38 ms/spectrum) to allow the possibility of performing information-dependent MS/MS on a chromatographic time scale on species exceeding predetermined ratio thresholds. We describe in detail the operation of the algorithm and demonstrate its use on datasets with known and unknown ratios. © 2007 by The American Society for Biochemistry and Molecular Biology, Inc.
Libra	http://tools.proteomecenter.org/Libra.php	Analyzes 4- and 8-channel iTRAQ data.		Command-line tool, Desktop application	Proteomics, Proteomics experiment, Statistics and probability	635	http://tools.proteomecenter.org/wiki/index.php?title=Software:Libra	Linux, Mac		None	None	10.1002/pmic.200900375	A guided tour of the Trans-Proteomic Pipeline	The Trans-Proteomic Pipeline (TPP) is a suite of software tools for the analysis of MS/MS data sets. The tools encompass most of the steps in a proteomic data analysis workflow in a single, integrated software system. Specifically, the TPP supports all steps from spectrometer output file conversion to protein-level statistical validation, including quantification by stable isotope ratios. We describe here the full workflow of the TPP and the tools therein, along with an example on a sample data set, demonstrating that the setup and use of the tools are straightforward and well supported and do not require specialized informatic resources or knowledge.
LutefiskXP	http://www.hairyfatguy.com/lutefisk/	Software for the de novo interpretation of peptide CID spectra.High quality tandem mass spectra of peptides are often obtained for which no exact database match can be made. Consequently, we are faced with the question of whether the protein under investigation is novel, or if the non-matching spectra are due to less exciting prospects such as inter-species variation, database sequence errors, or unexpected proteolytic cleavages.		Command-line tool	Proteins, Proteomics experiment	73	http://www.hairyfatguy.com/lutefisk/docs/	Linux, Windows, Mac	C	None	None	10.1385/mb:22:3:301	Searching sequence databases via de novo peptide sequencing by tandem mass spectrometry	There are many computer programs that can match tandem mass spectra of peptides to database-derived sequences; however, situations can arise where mass spectral data cannot be correlated with any database sequence. In such cases, sequences can be automatically deduced de novo, without recourse to sequence databases, and the resulting peptide sequences can be used to perform homologous nonexact searches of sequence databases. This article describes details on how to implement both a de novo sequencing program called "Lutefisk," and a version of FASTA that has been modified to account for sequence ambiguities inherent in tandem mass spectrometry data.
MAPDIA	http://sourceforge.net/projects/mapdia/.	Performs essential data preprocessing, including novel retention time-based normalization method and a sequence of peptide/fragment selection steps, and more importantly, hierarchical model-based statistical significance analysis for multi-group comparisons under representative experimental designs.		Command-line tool	Proteomics, Proteomics experiment, Proteins	115	http://mapdia.sourceforge.net/Main.html	Linux, Windows, Mac	C++	None	None	10.1016/j.jprot.2015.09.013	MapDIA: Preprocessing and statistical analysis of quantitative proteomics data from data independent acquisition mass spectrometry	Data independent acquisition (DIA) mass spectrometry is an emerging technique that offers more complete detection and quantification of peptides and proteins across multiple samples. DIA allows fragment-level quantification, which can be considered as repeated measurements of the abundance of the corresponding peptides and proteins in the downstream statistical analysis. However, few statistical approaches are available for aggregating these complex fragment-level data into peptide- or protein-level statistical summaries. In this work, we describe a software package, mapDIA, for statistical analysis of differential protein expression using DIA fragment-level intensities. The workflow consists of three major steps: intensity normalization, peptide/fragment selection, and statistical analysis. First, mapDIA offers normalization of fragment-level intensities by total intensity sums as well as a novel alternative normalization by local intensity sums in retention time space. Second, mapDIA removes outlier observations and selects peptides/fragments that preserve the major quantitative patterns across all samples for each protein. Last, using the selected fragments and peptides, mapDIA performs model-based statistical significance analysis of protein-level differential expression between specified groups of samples. Using a comprehensive set of simulation datasets, we show that mapDIA detects differentially expressed proteins with accurate control of the false discovery rates. We also describe the analysis procedure in detail using two recently published DIA datasets generated for 14-3-3. β dynamic interaction network and prostate cancer glycoproteome. Availability: The software was written in C. ++ language and the source code is available for free through SourceForge website http://sourceforge.net/projects/mapdia/.This article is part of a Special Issue entitled: Computational Proteomics.
MassyTools	https://github.com/Tarskin/MassyTools	Data processing tool for targeted high-throughput MALDI-MS data extraction.		Command-line tool	Proteomics, Proteomics experiment, Data management	96	https://github.com/Tarskin/MassyTools	Linux, Windows	Python	None	None	10.1021/acs.jproteome.5b00658	MassyTools: A High-Throughput Targeted Data Processing Tool for Relative Quantitation and Quality Control Developed for Glycomic and Glycoproteomic MALDI-MS	The study of N-linked glycosylation has long been complicated by a lack of bioinformatics tools. In particular, there is still a lack of fast and robust data processing tools for targeted (relative) quantitation. We have developed modular, high-throughput data processing software, MassyTools, that is capable of calibrating spectra, extracting data, and performing quality control calculations based on a user-defined list of glycan or glycopeptide compositions. Typical examples of output include relative areas after background subtraction, isotopic pattern-based quality scores, spectral quality scores, and signal-to-noise ratios. We demonstrated MassyTools' performance on MALDI-TOF-MS glycan and glycopeptide data from different samples. MassyTools yielded better calibration than the commercial software flexAnalysis, generally showing 2-fold better ppm errors after internal calibration. Relative quantitation using MassyTools and flexAnalysis gave similar results, yielding a relative standard deviation (RSD) of the main glycan of ∼6%. However, MassyTools yielded 2- to 5-fold lower RSD values for low-abundant analytes than flexAnalysis. Additionally, feature curation based on the computed quality criteria improved the data quality. In conclusion, we show that MassyTools is a robust automated data processing tool for high-throughput, high-performance glycosylation analysis. The package is released under the Apache 2.0 license and is freely available on GitHub (https://github.com/Tarskin/MassyTools).
Morpheus	https://cwenger.github.io/Morpheus/	A proteomics search algorithm specifically designed for high-resolution tandem mass spectra.		Command-line tool	Proteomics	128	https://cwenger.github.io/Morpheus/faq.html		C#	None	MIT	10.1021/pr301024c	A proteomics search algorithm specifically designed for high-resolution tandem mass spectra	The acquisition of high-resolution tandem mass spectra (MS/MS) is becoming more prevalent in proteomics, but most researchers employ peptide identification algorithms that were designed prior to this development. Here, we demonstrate new software, Morpheus, designed specifically for high-mass accuracy data, based on a simple score that is little more than the number of matching products. For a diverse collection of data sets from a variety of organisms (E. coli, yeast, human) acquired on a variety of instruments (quadrupole-time-of-flight, ion trap-orbitrap, and quadrupole-orbitrap) in different laboratories, Morpheus gives more spectrum, peptide, and protein identifications at a 1% false discovery rate (FDR) than Mascot, Open Mass Spectrometry Search Algorithm (OMSSA), and Sequest. Additionally, Morpheus is 1.5 to 4.6 times faster, depending on the data set, than the next fastest algorithm, OMSSA. Morpheus was developed in C#.NET and is available free and open source under a permissive license. © 2013 American Chemical Society.
MS-GFDB	http://proteomics.ucsd.edu/ProteoSAFe/	Peptide identification using a combination of ''de novo'' and database search.		Command-line tool	Proteomics, Proteomics experiment, Statistics and probability	202	http://proteomics.ucsd.edu/Software/MSGFPlus/	Linux, Windows, Mac	Java	None	None	10.1074/mcp.m110.003731	The generating function of CID	ETD, and CID/ETD pairs of tandem mass spectra: Applications to database search, Recent emergence of new mass spectrometry techniques (e.g. electron transfer dissociation, ETD) and improved availability of additional proteases (e.g. Lys-N) for protein digestion in high-throughput experiments raised the challenge of designing new algorithms for interpreting the resulting new types of tandem mass (MS/MS) spectra. Traditional MS/MS database search algorithms such as SEQUEST and Mascot were originally designed for collision induced dissociation (CID) of tryptic peptides and are largely based on expert knowledge about fragmentation of tryptic peptides (rather than machine learning techniques) to design CID-specific scoring functions. As a result, the performance of these algorithms is suboptimal for new mass spectrometry technologies or nontryptic peptides. We recently proposed the generating function approach (MS-GF) for CID spectra of tryptic peptides. In this study, we extend MS-GF to automatically derive scoring parameters from a set of annotated MS/MS spectra of any type (e.g. CID, ETD, etc.), and present a new database search tool MS-GFDB based on MS-GF. We show that MS-GFDB outperforms Mascot for ETD spectra or peptides digested with Lys-N. For example, in the case of ETD spectra, the number of tryptic and Lys-N peptides identified by MS-GFDB increased by a factor of 2.7 and 2.6 as compared with Mascot. Moreover, even following a decade of Mascot developments for analyzing CID spectra of tryptic peptides, MS-GFDB (that is not particularly tailored for CID spectra or tryptic peptides) resulted in 28% increase over Mascot in the number of peptide identifications. Finally, we propose a statistical framework for analyzing multiple spectra from the same precursor (e.g. CID/ETD spectral pairs) and assigning p values to peptide-spectrum-spectrum matches. © 2010 by The American Society for Biochemistry and Molecular Biology, Inc.
msalign2	http://www.ms-utils.org/msalign2/index.html	Aligns 2 CE-MS or LC-MS datasets using accurate mass information.		Command-line tool	Proteomics experiment, Proteomics, Metabolomics	50	http://www.ms-utils.org/msalign2/index.html	Linux	C	None	GPL-3.0	10.1007/s00216-009-3166-1	Alignment of capillary electrophoresis-mass spectrometry datasets using accurate mass information	Capillary electrophoresis-mass spectrometry (CE-MS) is a powerful technique for the analysis of small soluble compounds in biological fluids. A major drawback of CE is the poor migration time reproducibility, which makes it difficult to combine data from different experiments and correctly assign compounds. A number of alignment algorithms have been developed but not all of them can cope with large and irregular time shifts between CE-MS runs. Here we present a genetic algorithm designed for alignment of CE-MS data using accurate mass information. The utility of the algorithm was demonstrated on real data, and the results were compared with one of the existing packages. The new algorithm showed a significant reduction of elution time variation in the aligned datasets. The importance of mass accuracy for the performance of the algorithm was also demonstrated by comparing alignments of datasets from a standard time-of-flight (TOF) instrument with those from the new ultrahigh resolution TOF maXis (Bruker Daltonics). © 2009 Springer-Verlag.
muxQuant	http://www.ms-utils.org/muxQuant	Multiplexed quantitiave proteomics using differential stable isotope labeling.		Command-line tool	Proteomics, Proteomics experiment	63	http://ms-utils.org/muxQuant/	Windows	C	None	GPL-3.0	10.1021/pr0705340	Heat-shock response in Arabidopsis thaliana explored by multiplexed quantitative proteomics using differential metabolic labeling	We have developed a general method for multiplexed quantitative proteomics using differential metabolic stable isotope labeling and mass spectrometry. The method was successfully used to study the dynamics of heat-shock response in Arabidopsis thaliana. A number of known heat-shock proteins were confirmed, and some proteins not previously associated with heat shock were discovered. The method is applicable in stable isotope labeling and allows for high degrees of multiplexing. © 2008 American Chemical Society.
OBI-Warp	http://obi-warp.sourceforge.net	Aligns multiple LC-MS(/MS) datasets in retention time by dynamic time warping.		Command-line tool	Proteomics experiment, Proteomics	199	http://obi-warp.sourceforge.net/tutorials/index.html	Linux	C++	None	None	10.1021/ac0605344	Chromatographic alignment of ESI-LC-MS proteomics data sets by ordered bijective interpolated warping	Mass spectrometry proteomics typically relies upon analyzing outcomes of single analyses; however, comparing raw data across multiple experiments should enhance both peptide/protein identification and quantitation. In the absence of convincing tandem MS identifications, comparing peptide quantities between experiments (or fractions) requires the chromatographic alignment of MS signals. An extension of dynamic time warping (DTW), termed ordered bijective interpolated warping (OBI-Warp), is presented and used to align a variety of electrospray ionization liquid chromatography mass spectrometry (ESI-LC-MS) proteomics data sets. An algorithm to produce a bijective (one-to-one) function from DTW output is coupled with piecewise cubic hermite interpolation to produce a smooth warping function. Data sets were chosen to represent a broad selection of ESI-LC-MS alignment cases. High confidence, overlapping tandem mass spectra are used as standards to optimize and compare alignment parameters. We determine that Pearson's correlation coefficient as a measure of spectra similarity outperforms covariance, dot product, and Euclidean distance in its ability to produce correct alignments with optimal and suboptimal alignment parameters. We demonstrate the importance of penalizing gaps for best alignments. Using optimized parameters, we show that OBI-Warp produces alignments consistent with time standards across these data sets. The source and executables are released under MIT style license at http://obi-warp.sourceforge.net/. © 2006 American Chemical Society.
Pep3D	http://tools.proteomecenter.org/Pep3D.php	Plots LC-MS and LC-MS/MS data in a 2D ''m''/''z'' vs time plot.		Command-line tool	Proteomics, Proteomics experiment	81	http://tools.proteomecenter.org/wiki/index.php?title=Software:Pep3D	Linux, Mac		None	None	10.1021/ac035375s	A tool to visualize and evaluate data obtained by liquid chromatography-electrospray ionization-mass spectrometry	We present a software tool for visualizing data obtained from analyzing complex peptide mixtures by liquid chromatography (LC) electrospray ionization (ESI) mass spectrometry (MS). The data are represented as a two-dimensional density plot. For experiments employing collision-induced dissociation (CID), links are embedded in the image to the CID spectra and the corresponding peptide sequences that are represented by the respective feature. The image provides an intuitive method to evaluate sample quality and the performance of an LC-ESI-MS system and can be used to optimize experimental conditions. Local patterns of the image can also be used to identify chemical contaminants and specific peptide features. Therefore, this software tool may have broad application in MS-based proteomics.
Percolator	http://noble.gs.washington.edu/proj/percolator/	Semi-supervised learning for peptide identification from MS/MS data.		Command-line tool	Proteomics, Proteomics experiment, Statistics and probability, Machine learning	1650	https://github.com/percolator/percolator/wiki/example	Linux, Mac		None	None	10.1038/nmeth1113	Semi-supervised learning for peptide identification from shotgun proteomics datasets	Shotgun proteomics uses liquid chromatography-tandem mass spectrometry to identify proteins in complex biological samples. We describe an algorithm, called Percolator, for improving the rate of confident peptide identifications from a collection of tandem mass spectra. Percolator uses semi-supervised machine learning to discriminate between correct and decoy spectrum identifications, correctly assigning peptides to 17% more spectra from a tryptic Saccharomyces cerevisiae dataset, and up to 77% more spectra from non-tryptic digests, relative to a fully supervised approach.
