Category	Name	Homepage	First release	Latest known release	Preservation or archival of data and software	Version control (maintenance)	Licensing and legal – for use and distribution	Community engagement	Workflow management systems	Standardized input and output formats	Assessment against benchmarks or known standards	Containerization and dependency management	"Manuals, documentation, logging, and reporting"	Scalability and parallelization	Citation	Rating
Quantitative Proteomics	Quant	http://sourceforge.net/projects/protms	2007	2016	Not archived or hosted in unreliable locations.	"No version control, tool is deprecated or unreliable."	"Fully open-source with a permissive license (e.g., MIT, Apache), code publicly available."	No evidence of community engagement or support.	Cannot integrate into workflow management systems.	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	No benchmarking or testing reported.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Boehm, A. M., Pütz, S., Altenhöfer, D., Sickmann, A., & Falk, M. (2007). Precise protein quantification based on peptide quantification using iTRAQ. BMC Bioinformatics, 8(1), 214. https://doi.org/10.1186/1471-2105-8-214"	1
Niche and Miscellaneous Tools	RAAMS	http://informatics.mayo.edu/svn/trunk/mprc/raams/index.html	2008	Unknown	Not archived or hosted in unreliable locations.	"No version control, tool is deprecated or unreliable."	"Proprietary or restricted access, requires payment or a limited free trial."	No evidence of community engagement or support.	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Mason, C. J., Therneau, T. M., Eckel-Passow, J. E., Johnson, K. L., Oberg, A. L., Olson, J. E., Nair, K. S., Muddiman, D. C., & Bergen, H. R. (2007). A method for automatically interpreting mass spectra of 18O-labeled isotopic clusters. Mol. Cell. Proteomics, 6(2), 305-318. https://doi.org/10.1074/mcp.M600148-MCP201"	1
Quantitative Proteomics	SAINT	http://saint-apms.sourceforge.net/Main.html	2011	2017	Archived data or tool in a trusted repository.	"Minimal or inconsistent version control, tool still functional but not actively maintained."	"Fully open-source with a permissive license (e.g., MIT, Apache), code publicly available."	"Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum)."	Cannot integrate into workflow management systems.	Formats are non-standard but can be converted with effort.	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Choi, H., Larsen, B., Lin, Z. Y., Breitkreutz, A., Mellacheruvu, D., Fermin, D., Qin, Z. S., Tyers, M., Gingras, A. C., & Nesvizhskii, A. I. (2011). SAINT: probabilistic scoring of affinity purification-mass spectrometry data. Nat. Methods, 8(1), 70-73. https://doi.org/10.1038/nmeth.1541"	1
Cross-Linking and Structural Proteomics	XLink	http://tools.proteomecenter.org/XLink.php	2006	Unknown	Not archived or hosted in unreliable locations.	"No version control, tool is deprecated or unreliable."	"Proprietary or restricted access, requires payment or a limited free trial."	No evidence of community engagement or support.	Cannot integrate into workflow management systems.	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	No benchmarking or testing reported.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Seebacher, J., Mallick, P., Zhang, N., Eddes, J. S., Aebersold, R., & Gelb, M. H. (2006). Protein cross-linking analysis using mass spectrometry, isotope-coded cross-linkers, and integrated computational data processing. J. Proteome Res., 5(9), 2270-2282. https://doi.org/10.1021/pr060154z"	1
Machine Learning and Prediction	AlphaPeptDeep	https://github.com/MannLabs/alphapeptdeep	2022	2024	"Both tool and data are archived in trusted, well-maintained repositories (e.g., Zenodo, ProteomeXchange)."	"Comprehensive version control with regular updates, clear changelogs, and active maintenance."	Fully open-source and the code is available	"Active engagement across multiple platforms (e.g., GitHub, forums, Q&A sites) with regular interactions."	"Usable as part of a pipeline in workflow systems (e.g., Snakemake, Galaxy)."	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	Regular benchmarking and validation against widely accepted datasets with updates.	Not containerized or dependency management is manual.	"Detailed manual, thorough and clear documentation, and complete logging/reporting."	"The tool is designed for high scalability and parallelization, capable of efficiently processing very large datasets. It supports distributed computing, cloud platforms, and HPC environments, with optimization for resource allocation and task distribution."	"Zeng, W. F., Zhou, X. X., Willems, S., Ammar, C., Wahle, M., Bludau, I., Voytik, E., Strauss, M. T., & Mann, M. (2022). AlphaPeptDeep: a modular deep learning framework to predict peptide properties for proteomics. Nat. Commun., 13(1), 7238. https://doi.org/10.1038/s41467-022-34904-3"	2
Cross-Linking and Structural Proteomics	CONAN	https://github.com/HITS-MBM/conan	2018	2018	Archived data or tool in a trusted repository.	"Minimal or inconsistent version control, tool still functional but not actively maintained."	"Open source but with restrictions (e.g., limited commercial use or missing code access)."	"Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum)."	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	Sufficient documentation but lacks a manual or comprehensive logging/reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Mercadante, D., Gräter, F., & Daday, C. (2018). CONAN: A tool to decode dynamical information from molecular interaction maps. Biophys. J., 114(6), 1267-1273. https://doi.org/10.1016/j.bpj.2018.01.033"	2
Spectral Processing and Alignment	DeconMSn	http://omics.pnl.gov/software/DeconMSn.php	2008	2017	Archived data or tool in a trusted repository.	"Minimal or inconsistent version control, tool still functional but not actively maintained."	"Fully open-source with a permissive license (e.g., MIT, Apache), code publicly available."	"Active engagement across multiple platforms (e.g., GitHub, forums, Q&A sites) with regular interactions."	"Usable as part of a pipeline in workflow systems (e.g., Snakemake, Galaxy)."	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	Sufficient documentation but lacks a manual or comprehensive logging/reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Mayampurath, A. M., Jaitly, N., Purvine, S. O., Monroe, M. E., Auberry, K. J., Adkins, J. N., & Smith, R. D. (2008). DeconMSn: a software tool for accurate parent ion monoisotopic mass determination for tandem mass spectra. Bioinformatics, 24(7), 1021-1023. https://doi.org/10.1093/bioinformatics/btn063"	2
Spectral Processing and Alignment	DeconTools	http://omics.pnl.gov/software/DeconTools.php	2008	2023	Archived data or tool in a trusted repository.	"Comprehensive version control with regular updates, clear changelogs, and active maintenance."	"Fully open-source with a permissive license (e.g., MIT, Apache), code publicly available."	"Active engagement across multiple platforms (e.g., GitHub, forums, Q&A sites) with regular interactions."	"Usable as part of a pipeline in workflow systems (e.g., Snakemake, Galaxy)."	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	Sufficient documentation but lacks a manual or comprehensive logging/reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Horn, D. M., Zubarev, R. A., & McLafferty, F. W. (2000). Automated reduction and interpretation of tandem mass spectra. J. Am. Soc. Mass Spectrom., 11(4), 320-332. https://doi.org/10.1016/s1044-0305(99)00157-9"	2
Visualization and Imaging	DeepSTORM3D	https://github.com/EliasNehme/DeepSTORM3D	2020	2024	Archived data or tool in a trusted repository.	"Comprehensive version control with regular updates, clear changelogs, and active maintenance."	"Fully open-source with a permissive license (e.g., MIT, Apache), code publicly available."	"Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum)."	"Usable as part of a pipeline in workflow systems (e.g., Snakemake, Galaxy)."	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	Sufficient documentation but lacks a manual or comprehensive logging/reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Nehme, E., Freedman, D., Gordon, R., Ferdman, B., Weiss, L. E., Alalouf, O., Naor, T., Orange, R., Michaeli, T., & Shechtman, Y. (2020). DeepSTORM3D: Dense 3D localization microscopy and PSF design by deep learning. Nat. Methods, 17(7), 734-740. https://doi.org/10.1038/s41592-020-0853-5"	2
Data Processing and Analysis	DEP	http://bioconductor.org/packages/release/bioc/html/DEP.html	2018	2024	"Both tool and data are archived in trusted, well-maintained repositories (e.g., Zenodo, ProteomeXchange)."	"Comprehensive version control with regular updates, clear changelogs, and active maintenance."	"Fully open-source with a permissive license (e.g., MIT, Apache), code publicly available."	"Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum)."	"Usable as part of a pipeline in workflow systems (e.g., Snakemake, Galaxy)."	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	"Detailed manual, thorough and clear documentation, and complete logging/reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Zhang, X., Smits, A. H., van Tilburg, G. B., Ovaa, H., Huber, W., & Vermeulen, M. (2018). Proteome-wide identification of ubiquitin interactions using UbIA-MS. Nat. Protoc., 13(3), 530-550. https://doi.org/10.1038/nprot.2017.147"	2
Machine Learning and Prediction	DFLpred	http://biomine.cs.vcu.edu/servers/DFLpred/	2015	2016	Archived data or tool in a trusted repository.	"Minimal or inconsistent version control, tool still functional but not actively maintained."	"Fully open-source with a permissive license (e.g., MIT, Apache), code publicly available."	"Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum)."	Cannot integrate into workflow management systems.	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Meng, F., & Kurgan, L. (2016). DFLpred: High-throughput prediction of disordered flexible linker regions in protein sequences. Bioinformatics, 32(12), i341-i350. https://doi.org/10.1093/bioinformatics/btw280"	2
Metabolomics and Small Molecule Analysis	enviPat	http://www.envipat.eawag.ch/	2015	2021	"Both tool and data are archived in trusted, well-maintained repositories (e.g., Zenodo, ProteomeXchange)."	"Minimal or inconsistent version control, tool still functional but not actively maintained."	"Fully open-source with a permissive license (e.g., MIT, Apache), code publicly available."	"Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum)."	"Usable as part of a pipeline in workflow systems (e.g., Snakemake, Galaxy)."	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Loos, M., Gerber, C., Corona, F., Hollender, J., & Singer, H. (2015). Accelerated isotope fine structure calculation using pruned transition trees. Analytical Chemistry, 87(11), 5738–5744. https://doi.org/10.1021/acs.analchem.5b00941"	2
Machine Learning and Prediction	HIGH-PPI	https://github.com/zqgao22/HIGH-PPI	2023	2023	"Both tool and data are archived in trusted, well-maintained repositories (e.g., Zenodo, ProteomeXchange)."	"Minimal or inconsistent version control, tool still functional but not actively maintained."	"Fully open-source with a permissive license (e.g., MIT, Apache), code publicly available."	"Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum)."	"Usable as part of a pipeline in workflow systems (e.g., Snakemake, Galaxy)."	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Gao, Z., Jiang, C., Zhang, J., Jiang, X., Li, L., Zhao, P., Yang, H., Huang, Y., & Li, J. (2023). Hierarchical graph learning for protein-protein interaction. Nat. Commun., 14(1), 1093. https://doi.org/10.1038/s41467-023-36736-1"	2
Visualization and Imaging	IDBac	https://chasemc.github.io/IDBac	2018	2022	Archived data or tool in a trusted repository.	"Minimal or inconsistent version control, tool still functional but not actively maintained."	"Fully open-source with a permissive license (e.g., MIT, Apache), code publicly available."	"Active engagement across multiple platforms (e.g., GitHub, forums, Q&A sites) with regular interactions."	Cannot integrate into workflow management systems.	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Clark, C. M., Costa, M. S., Sanchez, L. M., & Murphy, B. T. (2018). Coupling MALDI-TOF mass spectrometry protein and specialized metabolite analyses to rapidly discriminate bacterial function. Proc. Natl. Acad. Sci. U. S. A., 115(19), 4981-4986. https://doi.org/10.1073/pnas.1801247115"	2
Protein and Peptide Identification	Informed-Proteomics	https://github.com/PNNL-Comp-Mass-Spec/Informed-Proteomics	2018	2022	Archived data or tool in a trusted repository.	"Minimal or inconsistent version control, tool still functional but not actively maintained."	"Fully open-source with a permissive license (e.g., MIT, Apache), code publicly available."	"Active engagement across multiple platforms (e.g., GitHub, forums, Q&A sites) with regular interactions."	Cannot integrate into workflow management systems.	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	"Detailed manual, thorough and clear documentation, and complete logging/reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Park, J., Piehowski, P. D., Wilkins, C., Zhou, M., Mendoza, J., Fujimoto, G. M., Gibbons, B. C., Shaw, J. B., Shen, Y., Shukla, A. K., Moore, R. J., Liu, T., Petyuk, V. A., Toli?, N., Paša-Toli?, L., Smith, R. D., Payne, S. H., & Kim, S. (2017). Informed-Proteomics: open-source software package for top-down proteomics. Nat. Methods, 14(9), 909-914. https://doi.org/10.1038/nmeth.4388"	2
Post-Translational Modifications (PTMs)	InsPecT	http://proteomics.ucsd.edu/Software/Inspect/	2005	2012	Not archived or hosted in unreliable locations.	"No version control, tool is deprecated or unreliable."	"Open source but with restrictions (e.g., limited commercial use or missing code access)."	No evidence of community engagement or support.	Cannot integrate into workflow management systems.	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	"Detailed manual, thorough and clear documentation, and complete logging/reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Tanner, S., Shu, H., Frank, A., Wang, L. C., Zandi, E., Mumby, M., Pevzner, P. A., & Bafna, V. (2005). InsPecT: Identification of posttranslationally modified peptides from tandem mass spectra. Anal. Chem., 77(14), 4626-4639. https://doi.org/10.1021/ac050102d"	2
Data Processing and Analysis	IPO	http://bioconductor.org/packages/release/bioc/html/IPO.html	2015	2017	Archived data or tool in a trusted repository.	"Minimal or inconsistent version control, tool still functional but not actively maintained."	"Fully open-source with a permissive license (e.g., MIT, Apache), code publicly available."	"Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum)."	Cannot integrate into workflow management systems.	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	Sufficient documentation but lacks a manual or comprehensive logging/reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Libiseller G, Dvorzak M, Kleb U, Gander E, Eisenberg T, Madeo F, Neumann S, Trausinger G, Sinner F, Pieber T, Magnes C ((2015)). “IPO: a tool for automated optimization of XCMS parameters.” BMC Bioinformatics, 16, 118."	2
Data Processing and Analysis	isobar	http://bioconductor.org/packages/release/bioc/html/isobar.html	2013	2016	Archived data or tool in a trusted repository.	"Minimal or inconsistent version control, tool still functional but not actively maintained."	"Fully open-source with a permissive license (e.g., MIT, Apache), code publicly available."	"Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum)."	Cannot integrate into workflow management systems.	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	Sufficient documentation but lacks a manual or comprehensive logging/reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Florian P. Breitwieser and Jacques Colinge (Sept. 2013). “Isobar(PTM): a software tool for the quantitative analysis of post-translationally modified proteins.” eng. In: J Proteomics 90, pp. 77–84"	2
Cross-Linking and Structural Proteomics	Kojak	https://kojak-ms.systemsbiology.net/	2015	2024	Archived data or tool in a trusted repository.	"Comprehensive version control with regular updates, clear changelogs, and active maintenance."	"Fully open-source with a permissive license (e.g., MIT, Apache), code publicly available."	"Active engagement across multiple platforms (e.g., GitHub, forums, Q&A sites) with regular interactions."	Cannot integrate into workflow management systems.	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	Sufficient documentation but lacks a manual or comprehensive logging/reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Hoopmann, M. R., Zelter, A., Johnson, R. S., Riffle, M., MacCoss, M. J., Davis, T. N., & Moritz, R. L. (2015). Kojak: Efficient analysis of chemically cross-linked protein complexes. J. Proteome Res., 14(5), 2190-2198. https://doi.org/10.1021/pr501321h"	2
Specialized Libraries and Frameworks	libmgf	http://kirchnerlab.github.io/libmgf/	2010	2010	Not archived or hosted in unreliable locations.	"No version control, tool is deprecated or unreliable."	"Open source but with restrictions (e.g., limited commercial use or missing code access)."	"Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum)."	"Usable as part of a pipeline in workflow systems (e.g., Snakemake, Galaxy)."	"Uses standardized formats directly, ensuring seamless interoperability with other tools."	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	Sufficient documentation but lacks a manual or comprehensive logging/reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Kirchner, M., Steen, J. A., Hamprecht, F. A., & Steen, H. (2010). MGFp: An open Mascot Generic Format parser library implementation. J. Proteome Res., 9(5), 2762-2763. https://doi.org/10.1021/pr100118f"	2
